LAMOST ID,RA (deg),DEC (deg),S/N,Teff (K),Log g,[Fe/H],[Alpha/H],Chi sq
spec-56596-VB002N48V1_sp14-138.fits,0.395649,49.12867,72.2300033569336,5044.09231346,3.10954100267,-0.54006239174,0.110692321044,0.789620583757746
spec-56199-EG000313N173308V_1_sp05-020.fits,1.015834,16.049211,42.3899993896484,5200.43953098,3.40465097437,-0.406730148348,0.0864772346223,0.333484232675353
spec-56611-VB002N40V1_sp11-230.fits,2.285359,42.270966,35.5900001525879,4824.79813383,3.02442663313,-0.456228871681,0.161276734549,0.25458326387208
spec-56611-VB002N40V3_sp06-179.fits,4.475728,39.694454,38.8699989318848,5008.42331411,3.15611797154,-0.638583039221,0.12215760943,0.228449147045316
spec-56618-EG000954N044957V01_sp06-113.fits,4.673229,4.092714,141.389999389648,4840.09029263,3.68428838609,-0.51924045587,0.0645973785775,0.931982803209328
spec-56621-EG002616N034932V01_sp14-194.fits,4.673229,4.092714,74.2099990844727,4865.98542519,3.63982154749,-0.622262341735,0.186904621545,0.618561395816921
spec-56642-VB005N38V1_sp01-160.fits,5.28167,36.259182,43.9700012207031,4854.39992497,2.8736022431,0.0104721149984,0.061014155517,0.541583202308549
spec-56266-M31007N41B1_sp03-046.fits,6.4066253,41.189937,36.2000007629395,5074.96288297,3.30037487148,-0.316861390979,0.0982658469441,0.330635698550042
spec-56592-HD003103N554209V01_sp12-096.fits,9.4814665,57.285249,48.9000015258789,4046.4333098,1.13843246377,-0.0938246402973,-0.010679923627,0.831301351772517
spec-56609-HD004201N404117V01_sp16-139.fits,9.5551436,42.507195,36.3499984741211,4475.02421351,2.11851578258,0.142554228634,0.00217039977555,0.505280086962921
spec-56582-VB012N41V1_sp02-179.fits,9.99642,39.770725,35.439998626709,4955.2216991,3.22716747805,-0.395119898404,0.106363706843,0.282792543019183
spec-56628-VB011N30V1_sp16-055.fits,10.332017,32.77441,121.75,4861.02782524,2.58702623624,-0.314023930641,0.0805383003241,1.67116223018374
spec-56582-VB012N41V2_sp02-207.fits,10.485694,39.16267,44.0400009155273,4770.63945382,2.34295782937,-0.742137347771,0.159027127575,0.566433243000277
spec-56580-VB011N44V1_sp05-015.fits,11.929231,43.566154,64.7399978637695,4833.63300244,2.64279754893,-0.597778760609,0.166241465465,1.0596356489805
spec-56628-VB011N30V2_sp09-033.fits,12.758252,31.679356,97.5599975585937,5202.28386998,3.31650818969,-0.526721354753,0.1034651784,0.673035591611651
spec-56581-VB013N21V2_sp05-108.fits,13.227882,20.59853,112.930000305176,5025.7586428,3.16590292186,-0.822149881918,0.19549227423,1.01066555223239
spec-56590-HD011332N441019B01_sp03-210.fits,17.151101,44.743315,48.8899993896484,5188.64527848,3.18593719799,-0.562186845325,0.0993424329709,0.981333034272169
spec-56265-EG012217N184057B01_sp15-097.fits,19.830029,19.874167,30.5200004577637,4897.15425701,2.76928246688,-0.540234988829,0.113035376899,0.293662258556701
spec-56661-EG012606S021203B05_sp14-151.fits,19.8787722,-1.8409336,44.1300010681152,5040.07956624,3.22231819099,-0.906361698507,0.198961956944,0.482170742773622
