2MASSID,RA,DEC,Vr (km/s),S/N,Teff,Log g,[Fe/H],[a/H],chi
J000134.95+490743.2,00:01:34.96,+49:07:43.2,-42.27,72,5044,3.11,-0.54,0.11,0.79
J000403.80+160257.1,00:04:03.80,+16:02:57.2,-35.38,42,5200,3.40,-0.41,0.09,0.33
J000908.48+421615.4,00:09:08.49,+42:16:15.5,-34.78,36,4825,3.02,-0.46,0.16,0.25
J001754.17+394140.0,00:17:54.17,+39:41:40.0,-42.87,39,5008,3.16,-0.64,0.12,0.23
J001841.57+040533.7,00:18:41.57,+04:05:33.8,-20.69,141,4840,3.68,-0.52,0.06,0.93
J002107.60+361533.0,00:21:07.60,+36:15:33.1,-53.06,44,4854,2.87,0.01,0.06,0.54
J002537.59+411123.7,00:25:37.59,+41:11:23.8,-12.59,36,5075,3.30,-0.32,0.10,0.33
J003755.55+571706.8,00:37:55.55,+57:17:06.9,-5.70,49,4046,1.14,-0.09,-0.01,0.83
J003813.23+423025.9,00:38:13.23,+42:30:25.9,-40.17,36,4475,2.12,0.14,0.00,0.51
J003959.14+394614.6,00:39:59.14,+39:46:14.6,5.10,35,4955,3.23,-0.40,0.11,0.28
J004119.68+324627.8,00:41:19.68,+32:46:27.9,4.50,122,4861,2.59,-0.31,0.08,1.67
J004156.56+390945.6,00:41:56.57,+39:09:45.6,-254.52,44,4771,2.34,-0.74,0.16,0.57
J004743.01+433358.1,00:47:43.02,+43:33:58.2,-62.66,65,4834,2.64,-0.60,0.17,1.06
J005101.98+314045.6,00:51:01.98,+31:40:45.7,-23.68,98,5202,3.32,-0.53,0.10,0.67
J005254.69+203554.7,00:52:54.69,+20:35:54.7,35.68,113,5026,3.17,-0.82,0.20,1.01
J010836.26+444435.9,01:08:36.26,+44:44:35.9,12.59,49,5189,3.19,-0.56,0.10,0.98
J011919.20+195227.0,01:19:19.21,+19:52:27.0,-35.38,31,4897,2.77,-0.54,0.11,0.29
J011930.90-015027.3,01:19:30.91,-01:50:27.4,-143.30,44,5040,3.22,-0.91,0.20,0.48
J020316.40+462211.1,02:03:16.41,+46:22:11.1,11.09,37,4897,2.89,-0.39,0.11,0.51
